字段1_文本,字段2,时间,字段3,时间1
用户9185526827774,电车里面我一直比较喜欢特斯拉，日产的艾睿雅出来也有一段时间了，上周找了个时间去试驾，觉得很不错，今天就特意来分享一下感受。首先是车子动力非常充沛，店里试驾是两区版本，感觉四驱会更更强一些。而且的底盘滤震效果很明显，像一些减速带和坑洼路面，大大小小的路况都被很细腻地过滤掉了，行驶起来是一种非常稳的感觉。另外值得一提的是，这台车对噪声的抑制做的很好，试驾的时候，无论是环境噪音，还是发动机噪音，都被很好地和座舱隔离开来，问了店里现在的价格，顶配都是30万不到，看来真的可以等待一下四驱了！,2022-11-10,,
liaomisi,"1、驾驶感受
应该是我开过的车型中，底盘质感最好的了（虽然我也没开过几辆车）。提速在市区也够用了，至于说极速，没试过，毕竟是一台家用电车。

2、辅助驾驶
有了辅助驾驶，长时间的高速和环路就轻松了很多，堵车也不怕啦，跟着前车慢慢移动。不过跟车距离有点大，要随时观察路况避免事故，毕竟只是辅助功能。

3、舒适性
众所周知，日产的调校是偏舒适的，ARIYA也是如此。在此之前试驾过特斯拉，因为家人经常坐车，综合考虑后选择了ARIYA。

4、外观
有人觉得大众的ID4好看，但我更喜欢ARIYA，见仁见智啦。每次擦完车都要观赏几分钟",2022-11-18,,
nullbee,外观满分 驾驶体验也开的挺爽，除了avm真的糊了点 而且南方这么适合电车，竟然没有座椅通风(不过与之相对空调猛的一比，确实也不咋需要痛风) 还有最高配才有fap，就不能两驱顶配也加上吗 其他配置该有的都有，花活少了点而已，但是实用耐操 总结挺爽的,2023-10-09,广州,
yongshanguan,"关于外形：外观永远是主观的评判，个人很喜欢它的颜值，尤其是尾部线条设计

关于电耗：这个应该是大家最关心的问题，目前开了2000公里，高速和市区各占一半，实际接近600km的续航完全可以满足成都市区和周边郊县的用车需求，平均能耗15.1kwh/100km，如果完全使用动能回收能耗应该会更低。

关于电费：家有充电桩的情况下，大概成本是1毛钱/公里

再说一下优点和缺点
优点：底盘扎实，平顺性和操控都不错，空间真的很大（在同级别里）

缺点：新车味道真的真的很大.....，最初买了活性碳来除去异味，用了一段时间效果真的不咋地。",2022-11-21,,
用户7886780538152,车子超过我的心里预期。电池不大的话这重量，天气冷点可就不能400多续航了。我说的是天冷。天气热还没测试过。空间还是可以的。动力够用了。智能辅助很实用。主要是要去试驾过才知道。九十度电池还是很有必要的。冬天很多电池小点虚标就会出现了。,2022-12-06,南京,
Langhang,试驾过特斯拉、福特电马、比亚迪海豹、小鹏P7/G9、蔚来ET5，最终2022年10月份交纳定金，选择了的日产艾睿雅，几点原因：外观内饰简练，操控是我喜欢的风格，前排隔音效果较好，我想要的配置几乎全部都有，623kM超长续航，4S店就在家门口，而且还有三电和整车终身质保，值了！,2023-06-15,长沙,
皮尔洛夫,整体非常满意。 被低估的神车，适合对智能化要求没那么好的人，不过Ariya的智驾其实不差。 简单说，外小里大，大电池，三点完美，超长续航，还有相当有水准的内外饰设计，独此一家,,上海,2023-11-26
江南一一一,外观很好看，不同于销量很高的滴滴专用街车，智能化不是很多，但对我来讲己经觉得很好了，能动方向盘的软件我都给关了！设计很独特，内饰也显高档。90度电池卖这件厂家亏翻了,,常州,2023-07-04
Yang6762,车子整体驾驶感不错，但是刹车停住的时候前后晃动感较强烈，加速，巡航，空调，智能驾驶等性能很不错，目前没碰到过异常。希望汽车app能更加推出功能控制车辆,,湖州,2023-04-19
用户3478123474822,"首先外观，ARIYA的外观是真的挺对我的胃口的，挑颜色时。纠结了白色，但因为上一辆车就是白色的，最后选了现在这个颜色。

关于空间，虽然这是一款紧凑型SUV，但是空间表现还可以，前排和后排都乘坐舒适，空间比较宽敞，车内储物空间非常简洁。

驾乘体验，真心丝滑，这一点电车应该都一样，买ARIYA呢，有一个重要的原因就是家里上一台车是2.0L的天籁，行驶质感给父母留下了较好的印象。所以这次购买电车他们说服我优先考虑日产。

提速方面，我觉得完全够用，比上一辆车2.0L天籁的动力要舒服太多，体验下来感觉也没有什么不好的地方，就是有时有点声音，稍微影响体验。

关于续航，日常上下班通勤并没有任何焦虑，提到车后我开回老家去了一趟，大概900km，中途补了一次电，时间一个小时左右，服务区里兜一圈就差不多了，现在服务区充电还不是很完善，以后也肯定会越来越便捷。",,,2022-11-15
metalsnake0710,外观内饰都不错，底盘质感也没问题，毕竟是日产多年造车经验摆在那里，车机只能说够用，和国内新势力比还有差距，没有那么多花里胡哨的功能，缺点也有，但20多万级别还是能接受的,,北京,2023-07-10
cgfwedhbtt,"10月17提车到现在，已经开了1500多公里。现在来谈使用感受应该蛮有说服力的。

1. 续航：我的是长续航版本，理论续航应该是623。实际开下来，开空调满电500到550公里，不开空调，续航在600左右，不乏有人能开到620，对我而言续航完全够用，也装了充电桩没有一丁点里程焦虑，剩百分之20就去充电。

2. 使用成本: 晚上4毛左右一度的电，便宜的很。

3. 驾驶感受：整车很重，底盘很稳。低速行驶方向盘有点重，加速秒路上百分之80油车没啥问题，0～60速度区间，开起来真的太丝滑。

4. 智能驾驶：目前智能驾驶最高级别应该就是L2，ARIYA的智能驾驶挺好用，我上高架高速就开辅助驾驶，车道识别，居中很灵敏。其余时间不用。

5. 空间: 后排放倒，能放一个婴儿床。所以也够用。

讲完优点，讲讲不满意的。
后排座椅不能完全放平，车机老是让我重新登录。

综上所述，这车是个好车，适合家用，适合稳重人士哈哈哈",2022-11-16,,
汽车天涯,你大爷果然还是你大爷，日产艾睿雅最大的优势就是好开。 一般的电车开起来容易晕，艾睿雅搭载了e-4ORCE雪狐电四驱，其采用了1/10000秒超高精度电机扭矩控制，可以最大程度地减少车辆的俯仰与俯冲感，降低城市交通中反复启停的不便以及乘客因此出现的晕车感。 同时，当车辆出现急加速或急减速时，ARIYA艾睿雅通过控制前后电机之间精确的动力输出和回收，减少车内人员俯仰动作，为车内乘客提供更舒适的驾乘体验。 还有，艾睿雅通过跑车级前后50:50黄金比例配重来打破这种传统，通过完美的动态平衡，升级用户驾控体验。 而在造型设计上，艾睿雅也十分好看，比如前脸，日产发光LOGO，融合流光飞羽LED大灯组从边沿进一步延伸，还原V-motion理念的同时，又很好地提升了视觉效果。 唯一的短板是，价格有点高，这个价格都可以买到大众ID.6了。,,,2022-12-29
十三叔叔是我,没有座椅通风差点意思，智能化不行，但是隔音比其他电车好，没有那么多异响，驾驶感受也不错.....,,上海,2023-12-17
兜兜转转回到圆点Q,"今天开着我的天籁去保养，刚好看到ARIYA现车到店。


这车外形看起来蛮大的，跟它以往的车的外形都完全不同，找不到类似设计的车型，可以说是一个很大的创新了，至于颜值方面，每个人眼光不一样，我个人感觉中上吧，还是蛮有科技感了，有点蒙面侠的味道，从后面看就跟其他suv车型差不多，没有特别亮眼的地方，轮毂的线条性还行。


它的底部包围很高，如果开车不小心划到也不会明显，同时也是配上了新的电子档把，挺简约，也是第一次见这种断开的扶手。


没有跟中控连接的扶手，看起来前排更宽阔了，腿长的人还可以侧着身，姚明来了都不怕坐不上。


扶手板这可是真的木纹啊，敲起来bangbang响的哇，两边还有个能上下拉的格栅板，挺精致的小玩意。


这种不是实体按键，估计给我开蛮不习惯，还是实体按键比较有感觉。


门板跟中控皮内饰，磨砂的质感，不知道是不是真皮的。


最后是后排没有了中间凸出来的东西，显得更大了。


总结：销售说充满电可以开个600公里，充电很快，按这样子这车还是不错的。",2022-11-14,,
汽车图书室,"外观方面，Ariya艾睿雅采用封闭式格栅设计，与两侧的前大灯搭配，有着很强的科技感。车身侧面的线条十分流畅饱满，新车的尺寸为4603x1900x1658（1654）mm，轴距达到2775mm，整个侧面看起来时尚又大气。车尾部分采用贯穿式尾灯设计，与车头的风格相呼应。整个外观设计大气，并且采用了稳重的设计风格。


内饰方面，车内配备12.3英寸的中控屏、12.3英寸的全液晶仪表盘，直接采用了双联屏的设计风格，车内还设计了贯穿式的线条，拉宽了尾部的视觉宽度。车内还设计了真皮材质的座椅，长时间乘坐也比较柔软。后备箱的空间也不错，容积达到了562L，并且二排座椅还支持放倒功能。


配置方面，新车标配车道偏离预警、前方碰撞预警、后方交通预警、倒车车侧预警、主动刹车、并线辅助、后驻车雷达、倒车影像、全速自适应巡航、L2级别智能辅助驾驶、内置行车记录仪、手机无线充电等，配置还是比较齐全的。动力方面，电机总功率178千瓦，电动机总扭矩300牛·米，纯电续航533km。",2022-10-14,,
Nice好车,"在Ariya艾睿雅上市之前，就有经销商打出了订车Ariya艾睿雅优惠2000元的宣传标语。按理来说，在如今许多中国品牌新能源车型都需要抢着订车的情况下，未上市就打出优惠吸引客户，的确有些反常。

而在Ariya艾睿雅上市之后，我直呼好家伙！日产厂家还玩起了“低配升级高配”，只要在11月1日前下定锁单低配车型，订两驱长续航版车型，给你发货两驱长续航顶配版，订四驱高性能版车型，同样给你升级成四驱高性能顶配版。与此同时，两驱车型再返你2万元，四驱车型则能返3万元。那么，降价+升级之后的Ariya艾睿雅，又可以下手了吗？

Ariya艾睿雅的厂商指导价为27.28-34.28万元，算上活动的升级和返还的现金之后，25.28万可以买两驱长续航顶配版，29.78万元可以买四驱高性能顶配版。

对比同为紧凑型SUV的大众ID.4 X和大众ID.4 CROZZ，两者的起步价均不到19万元，可以说Ariya艾睿雅是直接不生产低配车型了，门槛较高，但配置也更好。

按实际对比的数据，Ariya艾睿雅的两驱长续航顶配版在配置方面和大众ID.4 X/大众ID.4 CROZZ的两驱顶配车型各有千秋，如自动驾驶辅助系统，Ariya艾睿雅多了后方碰撞预警，但缺少了自动泊车入位，外部配置标配可开启全景天窗但少了感应后备厢和后排隐私玻璃，车内配置真皮座椅并带后排加热但前排又少了按摩功能......即使对比3款车的四驱顶配车型，Ariya艾睿雅的配置也没有明显优势，依旧只是各有千秋。

，目前大众ID.4 CROZZ车型已经有了超过2万元的现金优惠及保险补贴，Ariya艾睿雅即使取得一些细节上的优势，也难以弥补这么大的价差鸿沟。更何况，如果后来的消费者不能在11月1日前下定，“低配升级高配”的优惠也没有了，届时更要看日产4S店对Ariya艾睿雅给出什么样的让利。",,,2022-10-25
Nice好车,"东风日产艾睿雅这款电动车，网上对它的关注点，似乎是售价。因为在合资几大品牌的电动SUV里，艾睿雅卖27.28万起，是最贵的。

优点

艾睿雅有一个优点，就是用料和做工，比丰田、本田、大众等同级电动车都来得更为考究。

而且，现在你下订长续航版，有2万现金补贴，且免费你升级成顶配，相当于花25.28万，买到了官方指导价28.48万的长续航顶配版，变相优惠了3万多元。

就配置性能而言，艾睿雅还是在线的，譬如比亚迪海豹61度铁锂电池都卖22万元，这个车搭载90多度电的宁德时代三元锂电池，卖25万多并不贵，要知道电动车的电池是很值钱的。

缺点：

90多度电的电池，续航623公里的指标并不算十分出色，且还是水分较高的CLTC标准，艾睿雅并没有新势力造车那么的吸引眼球。有网友称它为“六边形”车型，很均衡，但也缺少过人之处。

推荐车型

我们推荐入门版的长续航版，店里谈一谈，26万左右能落地，性价比还是不错的。

艾睿雅在空间和车内高端氛围的营造上，还是很到位的，如果后期还能再加些优惠，那就更好了。你们说呢。",,,2022-10-18
汽车图书室,"首先从外观方面来看，设计得非常年轻化，采用了黑色的格栅设计，中间为汽车的品牌logo，并且与两侧的大灯连接在一起，整个前脸设计的非常智能科技的感觉。


侧面来看，汽车的尺寸为4603x1900x1658（1654）mm，轴距达到2775mm，并且将会搭载20英寸的轮胎，采用了贯穿式的线条，增加了侧面的运动气息。


从后面来看，搭载贯穿式的灯带设计，拉长了尾部的横向比例，灯带上的字母Logo也十分吸引人的眼球，较直的线条和简单的设计凸显的尾部更加沉稳。


内饰方面，搭配12.3英寸全液晶仪表盘、12.3英寸中控屏、真皮多功能控制方向盘、可开启全景天窗等，内饰看起来更加智能化，并且还会搭载贯穿式的出风口，整个内饰设计的简洁。


配置方面，该车配备了ABS防抱死功能、制动力分配、刹车辅助、牵引力控制、车身稳定系统、疲劳驾驶提示、前后驻车雷达、驾驶辅助影像、巡航系统、自动变道辅助、L2级辅助驾驶等辅助配置等功能。


动力方面，ARIYA 艾睿雅 2022款 高性能四驱顶配版，搭载前后双电机，电动机总功率320千瓦，电动机总扭矩600牛·米，电池方面，搭载三元锂电池，门店续航533公里。",2022-10-14,,
汽车天涯,看到日产推出这样一款车还是比较惊讶的，因为它的设计以及硬件配置，都是目前传统厂商里面比较激进的，比如内饰部分使用了全触控式的操作逻辑，前排直接采用贯穿式设计，可移动中控扶手等等。 三点方面，也是展示了日产的野心，采用了高达90度电的电池组，两驱版的电机性能，也是目前合资品牌中最高的，没有之一。 当然，它的价格，也是高到了基本可以和高自己一个级别的大众ID.6接近，所以，我认为日产推出这款产品，更多是在秀肌肉，如果你问我值不值得买，我可能会建议你关注后续真正的“走量”款。 当然，我也会强烈建议，日产重新起个名字吧，这车和轩逸、天籁这样的名字相比，真的差得太远了。,,,2022-09-29
mimide120,【购车经历】 刚上市就关注了，喜欢这款车的外形，家人都一致同意购买。 【驾驶感受】 驾驶起来就一个词，舒适。作为一个开惯油车的人上手没有违和感。坐上日产大沙发也很舒服。 【续航】 表显续航很精确，在北方冬天最冷的时候也没有出现任何问题。 【动力表现】 加速表现不生猛，我是女生开着很顺手。 【空间表现】 车内空间宽敞，后排坐3个人也不拥挤。 总的来说，ARIYA满足我对电车的所有想象。,2023-09-10,包头,
吴佩频道,"【最满意】外形内饰设计有新意，做工比较细致，车内乘坐舒适性理想，加速刹车时对前后俯仰控制到位，不容易晕车，整体驾驶感受和油车接近，不需要多少适应时间，续航里程显示比较准确。


【最不满意】
电耗控制仍有提升空间，整体车身动态不算灵活，部分触控式按键使用时反应不够灵敏，对充电桩的适配程度有待提升，在某些充电桩上充电功率受限。",,,2023-02-18
pqokjuzoge,"试驾ariya艾睿雅，驾驶质感很好，刹车停车时前倾晃不大。

90度大电池，优惠两三万，还不错。

试驾整体感受较好，就是减震偏软。等红绿灯刹车停车是稳稳的，前后晃动比较幅度很小，动力说来就来，比油车确实是强很多。

屏幕清晰度够高，显示够细腻。工作人员说是厂家特意设计了柔化、磨砂效果，减少反光和指纹痕迹。",2022-11-14,,
kdzvbbiywk,"ARIYA购车行驶1000公里最大的3个感受

Top1，转弯半径很小，妈妈再也不用担心我窄路掉头啦

Top2，舒适模式下，悬吊调教挺好的，有百年车厂的功底，在不平路面乘坐感不错

Top3，快速上手，和油车驾驶方式很相似，三下五除二就会了，不需要太久适应期",2022-11-16,,
qiluli,驾驶ARIYA快一个月了，越开越顺手了，也跑了一次山路，确实各方面都很不错，底盘扎实，操控舒适，今天老婆开车，我就坐后排也感受了下乘客视角，空间够用，座椅软硬程度和角度都OK，起步刹车没有其他电车那种晕眩感，对得起老牌车厂出品这个title，哦了，就说这么多吧,2022-11-17,,
johncecilia7,"油车换电车，没有纠结，没有对比，试驾了一下直接盲定，我是个只看外观无视内饰的人，电车里只有ARIYA的外观在我审美上。

用车感受：刚开始确实不习惯，有点晕，提速太快，不过开几天就适应了，车子空间大，一家人够用，至于大家关心的续航问题，我个人完全够用，开市区跑550公里以上没问题。

总结：开过特斯拉，完全不是我的菜，其他电车没开过，总之ARIYA越开越喜欢，值得拥有，绝不后悔",,,2022-11-23
光的呀逆袭,"电动车先来看续航，nedc续航623km，最近一次充电是上周五，充到80%表显490km。今天跑到50%电量，续航还有300km。用车场景，市区代步，孩子怕热，空调常开。这个续航还算扎实吧。最新更新了cltc续航，居然可以有六百多续航，真的是感人，所以杠我续航我真的会杠回去


至于车机问题呢，可能我们家用最多的就是导航，导航是有点傻的，升级后估计会好很多。


其他问题暂没发现，乘坐感受五颗星，不会晕车。


这几天试了一下座椅加热，开了一档就很暖了，最开始不知道开了三档，有点烫，哈哈哈",2022-11-16,,
用户1276727983909,跑了两三次店里，看了一次又一次，也试驾到了，我比较少开电车，这次试驾开起来整体还不错，电车一开始加速没有燃油车爆发力那么强，电车柔和性比较好，比较适合女生开，起步之后加速要有一个过程，差不多几分钟之后，你再踩加速一下子就上去了，后期爆发力还是可以的，操控还是挺好操控的。这几天就是再去谈一谈价格，看看还能不能优惠，大致上就没什么问题了。,2022-11-14,,
元汽智驾,最满意：超充最满意，充电方便速度快，节省时间 购车经历：作为第一批车主，老的电车就不点名了，很不方便，换完特斯拉可以说是颠覆性的提升，更好开，充电更方便，所以非常满意。 驾驶感受：单踏板模式一直有人质疑，其实开习惯了一点也不影响，而且很方便。 乘坐体验：乘坐体验很不错，但玻璃车顶确实是比较晒，买回来必须要手动加遮阳帘的 保养：无 油耗：五 续航：430km,2022-09-28,,
大宇车评,"ARIYA艾睿雅的外观设计采用了最新的东方美学理念，融合了日本传统和现代元素，展现出前卫和科技感。前脸采用了墨影晶盾的设计，将日产的V-motion形象进一步延伸，同时嵌入了前置雷达和摄像头。流光飞翼LED灯从大灯边沿延伸到中网，增强了视觉效果。前保险杠下方还有一个贯穿式的进气口，增加了运动感。

ARIYA艾睿雅的内饰同样体现了日本美学的精髓，以简约为主，但不失温馨和质感。中控台上方是一个12.3英寸的液晶仪表和中控屏相连的设计，显示出丰富的信息和功能。中控屏搭载了日产全新一代车联网系统，支持远程控制车辆、语音控制车辆、车载在线服务、远程实时监测、在线导航、影音娱乐等功能。

作为一款紧凑型SUV，ARIYA艾睿雅在空间方面也有不错的表现。前排空间宽敞舒适，头部空间有一拳多余。后排空间也相当不错，腿部空间有两拳多余，头部空间有一拳左右。后排座椅还可以比例放倒，进一步扩展空间。

ARIYA艾睿雅在动力方面提供了两种选择：单电机两驱版和双电机四驱版。单电机两驱版最大功率为178kW（242PS），最大扭矩为300N·m（30.6kg·m），零百加速时间为8.1秒；双电机四驱版最大功率为320kW（435PS），最大扭矩为600N·m（61.2kg·m），零百加速时间为5.1秒。可以看出，双电机四驱版的动力性能更加强劲，而且还搭载了e-4ORCE双电机全轮控制技术，可以实现前后轴的独立控制，提升了操控性和稳定性。

ARIYA艾睿雅是东风日产在纯电动车领域的一次重要尝试，它展现了日产在设计、技术、智能化等方面的实力和创新。它的外观前卫科技感十足，内饰简约而不失温馨，配置智能化和安全性突出，是紧凑型SUV中的佼佼者。如果你想要一款有品质、有科技、有个性的纯电动SUV，ARIYA艾睿雅值得你考虑。",2023-06-07,,
驾仕派,【车型亮点】作为来自成都的汽车媒体，其实我们很难去切身体会，为什么北方的用户对于新能源车的续航会有那么强的一个里程焦虑。为了去验证这一点，我们这次租到了这台日产的艾维亚，我们就会把它从成都开到海拔3666米的牛背山，我们也去体验一下北方用户开一台新能源车是怎么样的感觉。现在我们已经开上这台艾瑞亚，在成雅高速上面，然后我们会通过成雅，然后走雅越高速，光是高速路单程就有200公里的样子，往返的话可能就有400公里了，这是一个对于电动车来说特别大的考验，因为我们也不是作死，因为我们也不能就是完全去无限制的去挑战自己的极限，所以我们还是会用到一些相对经济的驾驶模式，比如说我现在把驾驶模式调节到了经济模式，另外我感觉d档和b档其实感觉差别还挺大的，会有更多的动能回收，而d档的情况下，你开着艾维亚它会滑行的更自然一些，更像一台传统的燃油车。走在这条高速上面，我觉得上车之后让我印象最深的一件事情是它的驾驶辅助系统，日产做得很不错，这一点是让我比较意外的。开启很简单，它不像有一些车型特别复杂，要按好几个按键，它只需要这一个按键，开启之后，我确认了一个车速，ok已经搞定了，所以说这个流程是很轻便很简洁很容易上手的。从另外一个角度来看，它有一些功能我觉得是做得特别不错的，比如它有那个打灯变道，而且它这个打灯变道的功能，我觉得这个是在一些可能更高级的灯上面都没有的，比如说我们去开特斯拉的时候，它的基础AP功能就是没有这个打灯变道的，你还要花3万块钱去选装一些产品，它这这个变道的功能我觉得有一点比较好的是它的整个动作是相对来说很柔和的，尝试一下打左转弯灯，然后后面经过了车，其实在这个可视化的界面上是很清晰的能看到的，它会有一些很明显的提示，然后他会看到比较远的一个路况，然后再去做是否变道的决定，而且它整个变道的动作其实是很柔和的，这一点我觉得是比很多新势力的车要好一些，因为很多品牌的车型在这种变道的过程中有可能会猛地骂你一下，然后会让你觉得很没有安全感，怕他撞到护栏撞到隔壁车道，就这一点我觉得他整个动作是做的特别舒服的。另外就是在整个跟车的过程中，我会发现它的整个跟车的加速移动都是一个比较线性的状态，不会有那种突然猛的拉一下，然后然后猛的又踩一脚这种比较毛糙的感觉，所以说这个是我觉得这一套驾驶辅助系统很舒服的原因。,2023-01-29,,
